04/08/2018;1.389,80
05/08/2018;1.253,80
06/08/2018;1.477,20
07/08/2018;1.505,80
08/08/2018;1.518,50
09/08/2018;1.522,20
10/08/2018;1.502,20
11/08/2018;1.375,00
12/08/2018;1.229,30
13/08/2018;1.466,20
14/08/2018;1.510,30
15/08/2018;1.505,50
16/08/2018;1.512,90
17/08/2018;1.507,80
18/08/2018;1.382,80
19/08/2018;1.249,10
20/08/2018;1.479,50
21/08/2018;1.514,20
22/08/2018;1.516,10
23/08/2018;1.529,90
24/08/2018;1.547,20
25/08/2018;1.411,60
26/08/2018;1.240,90
27/08/2018;1.448,90
28/08/2018;1.490,00
29/08/2018;1.504,60
30/08/2018;1.520,60
31/08/2018;1.534,20
01/09/2018;1.418,30
02/09/2018;1.279,80
03/09/2018;1.498,20
04/09/2018;1.501,80
05/09/2018;1.485,50
06/09/2018;1.483,00
07/09/2018;1.325,10
08/09/2018;1.313,00
09/09/2018;1.238,20
10/09/2018;1.480,80
11/09/2018;1.532,50
12/09/2018;1.542,40
13/09/2018;1.553,80
14/09/2018;1.539,10
15/09/2018;1.421,20
16/09/2018;1.276,10
17/09/2018;1.504,30
18/09/2018;1.559,90
19/09/2018;1.584,70
20/09/2018;1.548,00
21/09/2018;1.570,70
22/09/2018;1.458,80
23/09/2018;1.326,70
24/09/2018;1.584,90
25/09/2018;1.625,00
26/09/2018;1.641,70
27/09/2018;1.634,00
28/09/2018;1.607,20
29/09/2018;1.475,40
30/09/2018;1.327,60
01/10/2018;1.578,10
02/10/2018;1.629,00
03/10/2018;1.642,80
04/10/2018;1.627,80
05/10/2018;1.591,10
06/10/2018;1.421,40
07/10/2018;1.262,90
08/10/2018;1.541,10
09/10/2018;1.615,80
10/10/2018;1.633,50
11/10/2018;1.608,20
12/10/2018;1.401,30
13/10/2018;1.426,60
14/10/2018;1.330,90
15/10/2018;1.560,00
16/10/2018;1.613,90
17/10/2018;1.632,20
18/10/2018;1.637,40
19/10/2018;1.609,60
20/10/2018;1.440,10
21/10/2018;1.269,70
22/10/2018;1.528,70
23/10/2018;1.600,70
24/10/2018;1.595,30
25/10/2018;1.604,10
26/10/2018;1.609,90
27/10/2018;1.473,70
28/10/2018;1.295,00
29/10/2018;1.528,40
30/10/2018;1.586,20
31/10/2018;1.614,10
01/11/2018;1.606,00
02/11/2018;1.395,30
03/11/2018;1.421,10
04/11/2018;1.319,50
05/11/2018;1.542,80
06/11/2018;1.573,90
07/11/2018;1.580,30
08/11/2018;1.558,90
09/11/2018;1.555,60
10/11/2018;1.459,50
11/11/2018;1.348,00
12/11/2018;1.630,30
13/11/2018;1.696,10
14/11/2018;1.707,50
15/11/2018;1.528,70
16/11/2018;1.584,10
17/11/2018;1.453,40
18/11/2018;1.343,90
19/11/2018;1.559,50
20/11/2018;1.536,60
21/11/2018;1.567,70
22/11/2018;1.612,40
23/11/2018;1.643,50
24/11/2018;1.504,10
25/11/2018;1.359,50
26/11/2018;1.561,20
27/11/2018;1.585,60
28/11/2018;1.605,40
29/11/2018;1.647,90
30/11/2018;1.666,40
01/12/2018;1.523,40
02/12/2018;1.363,00
03/12/2018;1.563,00
04/12/2018;1.604,40
05/12/2018;1.650,20
06/12/2018;1.654,40
07/12/2018;1.618,70
08/12/2018;1.431,50
09/12/2018;1.296,20
10/12/2018;1.582,60
11/12/2018;1.678,80
12/12/2018;1.725,00
13/12/2018;1.744,00
14/12/2018;1.742,90
15/12/2018;1.604,50
16/12/2018;1.475,10
17/12/2018;1.759,40
18/12/2018;1.772,20
19/12/2018;1.743,20
20/12/2018;1.742,30
21/12/2018;1.708,70
22/12/2018;1.574,40
23/12/2018;1.454,90
24/12/2018;1.436,00
25/12/2018;1.259,10
26/12/2018;1.483,20
27/12/2018;1.531,90
28/12/2018;1.542,50
29/12/2018;1.478,50
30/12/2018;1.399,80
31/12/2018;1.418,20
01/01/2019;1.313,40
02/01/2019;1.595,90
03/01/2019;1.698,00
04/01/2019;1.684,20
05/01/2019;1.534,80
06/01/2019;1.427,50
07/01/2019;1.693,50
08/01/2019;1.751,30
09/01/2019;1.768,90
10/01/2019;1.774,30
11/01/2019;1.756,00
12/01/2019;1.612,40
13/01/2019;1.476,00
14/01/2019;1.761,30
15/01/2019;1.807,50
16/01/2019;1.837,70
17/01/2019;1.828,70
18/01/2019;1.812,40
19/01/2019;1.640,30
20/01/2019;1.499,80
21/01/2019;1.788,70
22/01/2019;1.860,60
23/01/2019;1.885,40
24/01/2019;1.861,60
25/01/2019;1.791,70
26/01/2019;1.604,70
27/01/2019;1.468,20
28/01/2019;1.779,40
29/01/2019;1.866,00
30/01/2019;1.897,00
31/01/2019;1.895,70
01/02/2019;1.886,00
02/02/2019;1.706,60
03/02/2019;1.540,40
04/02/2019;1.733,50
05/02/2019;1.707,60
06/02/2019;1.676,40
07/02/2019;1.669,30
08/02/2019;1.715,40
09/02/2019;1.602,40
10/02/2019;1.490,40
11/02/2019;1.781,00
12/02/2019;1.792,20
13/02/2019;1.712,90
14/02/2019;1.688,70
15/02/2019;1.680,80
16/02/2019;1.533,90
17/02/2019;1.387,40
18/02/2019;1.662,60
19/02/2019;1.709,70
20/02/2019;1.735,60
21/02/2019;1.730,40
22/02/2019;1.751,40
23/02/2019;1.640,60
24/02/2019;1.521,70
25/02/2019;1.761,00
26/02/2019;1.709,30
27/02/2019;1.699,40
28/02/2019;1.685,50
01/03/2019;1.665,90
02/03/2019;1.517,90
03/03/2019;1.378,90
04/03/2019;1.483,90
05/03/2019;1.498,90
06/03/2019;1.644,50
07/03/2019;1.730,60
08/03/2019;1.751,20
09/03/2019;1.608,00
10/03/2019;1.454,30
11/03/2019;1.661,60
12/03/2019;1.695,90
13/03/2019;1.730,30
14/03/2019;1.743,00
15/03/2019;1.727,80
16/03/2019;1.565,60
17/03/2019;1.418,70
18/03/2019;1.706,10
19/03/2019;1.754,90
20/03/2019;1.726,50
21/03/2019;1.637,80
22/03/2019;1.595,80
23/03/2019;1.473,70
24/03/2019;1.370,00
25/03/2019;1.633,50
26/03/2019;1.677,20
27/03/2019;1.665,40
28/03/2019;1.644,40
29/03/2019;1.617,80
30/03/2019;1.485,20
31/03/2019;1.359,80
01/04/2019;1.619,20
02/04/2019;1.666,50
03/04/2019;1.697,50
04/04/2019;1.719,40
05/04/2019;1.724,60
06/04/2019;1.550,90
07/04/2019;1.391,80
08/04/2019;1.624,40
09/04/2019;1.619,90
10/04/2019;1.615,10
11/04/2019;1.620,50
